requirement_id,phases,representative_story_ids,verification
FR-001,P7,ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-002,P7,ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-003,P2;P7,ACT-0018;ACT-0019;ACT-0020;ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-004,P5;P6;P12,ACT-0048;ACT-0049;ACT-0050;ACT-0058;ACT-0059;ACT-0060;ACT-0118;ACT-0119;ACT-0120,automated + phase gate
FR-005,P3;P5,ACT-0026;ACT-0027;ACT-0028;ACT-0048;ACT-0049;ACT-0050,automated + phase gate
FR-006,P7,ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-007,P3;P7,ACT-0026;ACT-0027;ACT-0028;ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-008,P3;P9;P14,ACT-0026;ACT-0027;ACT-0028;ACT-0089;ACT-0090;ACT-0091;ACT-0137;ACT-0138;ACT-0139,automated + phase gate
FR-009,P3;P7;P10,ACT-0026;ACT-0027;ACT-0028;ACT-0067;ACT-0068;ACT-0069;ACT-0100;ACT-0101;ACT-0102,automated + phase gate
FR-010,P6;P7,ACT-0058;ACT-0059;ACT-0060;ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-011,P8,ACT-0079;ACT-0080;ACT-0081,automated + phase gate
FR-012,P8,ACT-0079;ACT-0080;ACT-0081,automated + phase gate
FR-013,P11,ACT-0109;ACT-0110;ACT-0111,automated + phase gate
FR-014,P5;P7,ACT-0048;ACT-0049;ACT-0050;ACT-0067;ACT-0068;ACT-0069,automated + phase gate
FR-015,P7;P10,ACT-0067;ACT-0068;ACT-0069;ACT-0100;ACT-0101;ACT-0102,automated + phase gate
FR-016,P9,ACT-0089;ACT-0090;ACT-0091,automated + phase gate
FR-017,P9,ACT-0089;ACT-0090;ACT-0091,automated + phase gate
FR-018,P4;P9;P13,ACT-0038;ACT-0039;ACT-0040;ACT-0089;ACT-0090;ACT-0091;ACT-0127;ACT-0128;ACT-0129,automated + phase gate
FR-019,P12,ACT-0118;ACT-0119;ACT-0120,automated + phase gate
FR-020,P11,ACT-0109;ACT-0110;ACT-0111,automated + phase gate
FR-021,P8;P12,ACT-0079;ACT-0080;ACT-0081;ACT-0118;ACT-0119;ACT-0120,automated + phase gate
FR-022,P12,ACT-0118;ACT-0119;ACT-0120,automated + phase gate
FR-023,P7,ACT-0067;ACT-0068;ACT-0069,automated + phase gate
NFR-001,P3;P15,ACT-0026;ACT-0027;ACT-0028;ACT-0145;ACT-0146;ACT-0147,automated + phase gate
NFR-002,P6;P15,ACT-0058;ACT-0059;ACT-0060;ACT-0145;ACT-0146;ACT-0147,automated + phase gate
NFR-003,P3;P5;P13,ACT-0026;ACT-0027;ACT-0028;ACT-0048;ACT-0049;ACT-0050;ACT-0127;ACT-0128;ACT-0129,automated + phase gate
NFR-004,P13;P15,ACT-0127;ACT-0128;ACT-0129;ACT-0145;ACT-0146;ACT-0147,automated + phase gate
NFR-005,P13;P15,ACT-0127;ACT-0128;ACT-0129;ACT-0145;ACT-0146;ACT-0147,automated + phase gate
NFR-006,P5;P13,ACT-0048;ACT-0049;ACT-0050;ACT-0127;ACT-0128;ACT-0129,automated + phase gate
NFR-007,P9;P13,ACT-0089;ACT-0090;ACT-0091;ACT-0127;ACT-0128;ACT-0129,automated + phase gate
NFR-008,P1,ACT-0010;ACT-0011;ACT-0012,automated + phase gate
NFR-009,P7;P15,ACT-0067;ACT-0068;ACT-0069;ACT-0145;ACT-0146;ACT-0147,automated + phase gate
NFR-010,P3;P10;P14,ACT-0026;ACT-0027;ACT-0028;ACT-0100;ACT-0101;ACT-0102;ACT-0137;ACT-0138;ACT-0139,automated + phase gate
NFR-011,P0;P14,ACT-0001;ACT-0002;ACT-0003;ACT-0137;ACT-0138;ACT-0139,automated + phase gate
NFR-012,P4;P15,ACT-0038;ACT-0039;ACT-0040;ACT-0145;ACT-0146;ACT-0147,automated + phase gate
FR-024,P5;P7,ACT-0168;ACT-0174;ACT-0175,search and category E2E
FR-025,P2;P3,ACT-0159;ACT-0161;ACT-0162,normalization and ranking fixtures
FR-026,P3;P7,ACT-0163;ACT-0176,ambiguity tests and E2E
FR-027,P3;P6,ACT-0164;ACT-0172,offline parity and signature validation
FR-028,P3;P15,ACT-0163;ACT-0182,canonical-ID gate tests
FR-029,P7,ACT-0178,no-result recovery E2E
FR-030,P5,ACT-0171,case contract and API tests
FR-031,P6;P7,ACT-0173;ACT-0177,local persistence tests
FR-032,P13,ACT-0179,PII/query telemetry tests
NFR-013,P3;P15,ACT-0161;ACT-0162;ACT-0181,search performance benchmark
NFR-014,P3;P6;P15,ACT-0164;ACT-0172;ACT-0181,offline deterministic parity
