requirement_id,source_doc,artifact,test
FR-INTERPRET,05_RULE_ENGINE_SPEC.md,09_API_SPEC.yaml:/v1/events/interpret,event_resolver_unit
FR-PLAN,05_RULE_ENGINE_SPEC.md,contracts/event_plan.schema.json,orchestrator_unit+golden_plan_hash
FR-ROUTE,05_RULE_ENGINE_SPEC.md,contracts/route_run.schema.json,engine_unit+golden_route_hash
FR-CATALOG,06_LIFE_EVENT_CATALOG.md,seed/event_taxonomy.yaml,taxonomy_validation
FR-SOURCES,06_SOURCE_GOVERNANCE.md,19_SOURCE_REGISTRY.json,source_registry_validation
FR-DOCS-READINESS,02_PRD.md,09_API_SPEC.yaml:/v1/documents/readiness,readiness_fixtures
FR-CURATOR,18_CONTENT_OPERATIONS.md,09_API_SPEC.yaml:/v1/curator/bundles/{id}/publish,impact_analysis_test
NFR-DETERMINISM,05_RULE_ENGINE_SPEC.md,packages/rule-engine,golden_hash_suite
NFR-FRESHNESS,06_SOURCE_GOVERNANCE.md,config/freshness_policy.yaml,freshness_failclosed_test
NFR-PRIVACY,11_SECURITY_PRIVACY.md,config/retention_policy.yaml,retention_test
